,number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_p,state
0,0,0.9200837809968635,2025-03-06 22:58:57.449437,2025-03-06 22:58:57.995772,0 days 00:00:00.546335,euclidean,10,1,COMPLETE
1,1,0.9200837809968635,2025-03-06 22:58:57.995772,2025-03-06 22:58:58.635773,0 days 00:00:00.640001,manhattan,7,3,COMPLETE
2,2,0.9200837809968635,2025-03-06 22:58:58.635773,2025-03-06 22:58:59.038043,0 days 00:00:00.402270,euclidean,5,1,COMPLETE
3,3,0.9200837809968635,2025-03-06 22:58:59.038043,2025-03-06 22:58:59.641339,0 days 00:00:00.603296,manhattan,7,1,COMPLETE
4,4,0.9200837809968635,2025-03-06 22:58:59.643342,2025-03-06 22:59:00.071958,0 days 00:00:00.428616,minkowski,14,2,COMPLETE
5,5,0.9200837809968635,2025-03-06 22:59:00.071958,2025-03-06 22:59:00.777643,0 days 00:00:00.705685,minkowski,17,1,COMPLETE
6,6,0.9200837809968635,2025-03-06 22:59:00.777643,2025-03-06 22:59:09.642016,0 days 00:00:08.864373,minkowski,14,3,COMPLETE
7,7,0.9200837809968635,2025-03-06 22:59:09.642016,2025-03-06 22:59:10.264478,0 days 00:00:00.622462,minkowski,17,2,COMPLETE
8,8,0.9200837809968635,2025-03-06 22:59:10.264478,2025-03-06 22:59:12.988886,0 days 00:00:02.724408,minkowski,6,1,COMPLETE
9,9,0.9200837809968635,2025-03-06 22:59:12.988886,2025-03-06 22:59:15.232681,0 days 00:00:02.243795,minkowski,15,1,COMPLETE
10,10,0.9200837809968635,2025-03-06 22:59:15.232681,2025-03-06 22:59:17.237852,0 days 00:00:02.005171,euclidean,10,2,COMPLETE
11,11,0.9200837809968635,2025-03-06 22:59:17.241263,2025-03-06 22:59:19.376368,0 days 00:00:02.135105,manhattan,10,3,COMPLETE
12,12,0.9200837809968635,2025-03-06 22:59:19.378375,2025-03-06 22:59:21.693993,0 days 00:00:02.315618,manhattan,10,3,COMPLETE
13,13,0.9200837809968635,2025-03-06 22:59:21.696001,2025-03-06 22:59:24.094364,0 days 00:00:02.398363,euclidean,8,3,COMPLETE
14,14,0.9200837809968635,2025-03-06 22:59:24.094364,2025-03-06 22:59:27.194078,0 days 00:00:03.099714,manhattan,12,2,COMPLETE
15,15,0.9200837809968635,2025-03-06 22:59:27.194078,2025-03-06 22:59:28.024716,0 days 00:00:00.830638,euclidean,8,2,COMPLETE
16,16,0.9200837809968635,2025-03-06 22:59:28.024716,2025-03-06 22:59:28.453772,0 days 00:00:00.429056,euclidean,11,3,COMPLETE
17,17,0.9200837809968635,2025-03-06 22:59:28.453772,2025-03-06 22:59:29.094384,0 days 00:00:00.640612,manhattan,20,2,COMPLETE
18,18,0.9200837809968635,2025-03-06 22:59:29.094384,2025-03-06 22:59:29.684771,0 days 00:00:00.590387,manhattan,5,3,COMPLETE
19,19,0.9200837809968635,2025-03-06 22:59:29.684771,2025-03-06 22:59:30.122623,0 days 00:00:00.437852,euclidean,8,1,COMPLETE
