,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_size1,params_hidden_size2,params_learning_rate,state
0,0,0.35449601689868654,2025-03-05 16:28:12.669171,2025-03-05 16:28:13.520396,0 days 00:00:00.851225,16,0.1901685510360418,467,107,1.1601159135468865e-05,COMPLETE
1,1,0.4827035841654665,2025-03-05 16:28:13.520396,2025-03-05 16:28:13.781160,0 days 00:00:00.260764,128,0.29545707064842686,470,50,0.019884135149939655,COMPLETE
2,2,0.20621974900733273,2025-03-05 16:28:13.783063,2025-03-05 16:28:14.120425,0 days 00:00:00.337362,32,0.27321040558336424,290,80,0.00017878922986699634,COMPLETE
3,3,0.2703003337041157,2025-03-05 16:28:14.120425,2025-03-05 16:28:14.767345,0 days 00:00:00.646920,16,0.2504899845946829,343,75,0.00011838104874677162,COMPLETE
4,4,0.3202744521663163,2025-03-05 16:28:14.768844,2025-03-05 16:28:15.053235,0 days 00:00:00.284391,64,0.3391925806695951,293,195,6.294006222152946e-05,COMPLETE
5,5,0.4834656026176016,2025-03-05 16:28:15.053235,2025-03-05 16:28:15.641476,0 days 00:00:00.588241,16,0.10789845128082574,258,244,0.0037482118604352387,COMPLETE
6,6,0.2703003337041157,2025-03-05 16:28:15.641476,2025-03-05 16:28:15.986868,0 days 00:00:00.345392,128,0.39253058896467985,503,240,0.03660113087785542,COMPLETE
7,7,0.5084708788395425,2025-03-05 16:28:15.986868,2025-03-05 16:28:16.191440,0 days 00:00:00.204572,64,0.26514878293079025,50,126,0.00437014562082888,COMPLETE
8,8,0.48380863331774976,2025-03-05 16:28:16.191440,2025-03-05 16:28:16.419916,0 days 00:00:00.228476,64,0.205581203284527,54,145,0.011023732391903582,COMPLETE
9,9,0.7897136096321814,2025-03-05 16:28:16.419916,2025-03-05 16:28:16.902444,0 days 00:00:00.482528,16,0.1456302205140088,238,207,3.0824756748938525e-05,PRUNED
10,10,0.17374383180834796,2025-03-05 16:28:16.902444,2025-03-05 16:28:17.090704,0 days 00:00:00.188260,64,0.44387848873868163,53,17,0.001287796595924441,COMPLETE
11,11,0.5809969097611899,2025-03-05 16:28:17.090704,2025-03-05 16:28:17.358208,0 days 00:00:00.267504,64,0.2198030643881529,42,147,0.006758948163905357,COMPLETE
12,12,0.7842951563578968,2025-03-05 16:28:17.358208,2025-03-05 16:28:17.591985,0 days 00:00:00.233777,64,0.3520306654254747,154,149,0.0006446042807203216,PRUNED
13,13,0.44998370804822413,2025-03-05 16:28:17.591985,2025-03-05 16:28:17.861276,0 days 00:00:00.269291,64,0.2199291643532512,134,166,0.07277511637729442,COMPLETE
14,14,0.45560298079043404,2025-03-05 16:28:17.861276,2025-03-05 16:28:18.236179,0 days 00:00:00.374903,32,0.16354316833407165,112,117,0.0043046686276124405,COMPLETE
15,15,0.6842424564818517,2025-03-05 16:28:18.236179,2025-03-05 16:28:18.534054,0 days 00:00:00.297875,64,0.24806377861674195,188,180,0.001031955982224678,COMPLETE
16,16,0.35353299527640053,2025-03-05 16:28:18.535060,2025-03-05 16:28:18.807416,0 days 00:00:00.272356,64,0.32861721252249015,193,185,0.0006288451821589105,COMPLETE
17,17,0.32247882512819875,2025-03-05 16:28:18.807416,2025-03-05 16:28:19.129541,0 days 00:00:00.322125,64,0.22921380386358564,371,210,0.0012668355739973358,COMPLETE
18,18,0.26760168302945303,2025-03-05 16:28:19.129541,2025-03-05 16:28:19.535685,0 days 00:00:00.406144,32,0.4899669372521308,186,166,0.00024216693918496402,COMPLETE
19,19,0.501682589790149,2025-03-05 16:28:19.536221,2025-03-05 16:28:19.793578,0 days 00:00:00.257357,128,0.12454647608174985,114,175,0.0119149523783433,COMPLETE
