,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,state
0,0,0.6260979073576495,2025-03-06 22:41:44.113978,2025-03-06 22:41:46.080457,0 days 00:00:01.966479,2.5092663171705367,0.7492822108192057,poly,COMPLETE
1,1,0.7101554461534875,2025-03-06 22:41:46.080457,2025-03-06 22:41:49.152312,0 days 00:00:03.071855,0.6476669150238159,0.1300837876154141,rbf,COMPLETE
2,2,0.6260979073576495,2025-03-06 22:41:49.153269,2025-03-06 22:41:51.098072,0 days 00:00:01.944803,0.777050338261379,0.032182924056214736,poly,COMPLETE
3,3,0.979638311309755,2025-03-06 22:41:51.100776,2025-03-06 22:41:53.107604,0 days 00:00:02.006828,1.1050020296856042,0.003185221727756217,rbf,COMPLETE
4,4,0.9406438814681016,2025-03-06 22:41:53.107604,2025-03-06 22:41:55.932020,0 days 00:00:02.824416,0.7011748665547411,0.015934103199934498,rbf,COMPLETE
5,5,0.9729991767277225,2025-03-06 22:41:55.932020,2025-03-06 22:41:58.081928,0 days 00:00:02.149908,1.053380442654344,0.003525505792783107,rbf,COMPLETE
6,6,0.9406438814681016,2025-03-06 22:41:58.082975,2025-03-06 22:42:00.761665,0 days 00:00:02.678690,0.7412738826645229,0.012046957455037496,rbf,COMPLETE
7,7,0.6260979073576495,2025-03-06 22:42:00.761665,2025-03-06 22:42:02.707213,0 days 00:00:01.945548,0.2519279822919813,0.6399321875251993,poly,COMPLETE
8,8,0.6260979073576495,2025-03-06 22:42:02.707910,2025-03-06 22:42:04.616661,0 days 00:00:01.908751,6.99374651548939,0.13072718365856525,poly,COMPLETE
9,9,0.6260979073576495,2025-03-06 22:42:04.616661,2025-03-06 22:42:06.600976,0 days 00:00:01.984315,0.1148999513378475,0.09570631576159573,poly,COMPLETE
10,10,0.9972794403420132,2025-03-06 22:42:06.603882,2025-03-06 22:42:08.646748,0 days 00:00:02.042866,3.163512960550411,0.0017094230277034089,rbf,COMPLETE
11,11,0.9945674791658785,2025-03-06 22:42:08.649275,2025-03-06 22:42:10.875400,0 days 00:00:02.226125,3.4069643460731966,0.0010582399511019924,rbf,COMPLETE
12,12,0.9945674791658785,2025-03-06 22:42:10.875400,2025-03-06 22:42:13.010827,0 days 00:00:02.135427,5.673584790999335,0.001034301244318628,rbf,COMPLETE
13,13,0.9945674791658785,2025-03-06 22:42:13.010827,2025-03-06 22:42:15.070426,0 days 00:00:02.059599,3.5876615837783716,0.0010310662939143622,rbf,COMPLETE
14,14,0.979638311309755,2025-03-06 22:42:15.071322,2025-03-06 22:42:17.293263,0 days 00:00:02.221941,2.3627173529929624,0.0029599930427416372,rbf,COMPLETE
15,15,0.9406438814681016,2025-03-06 22:42:17.293263,2025-03-06 22:42:19.825922,0 days 00:00:02.532659,9.566006386075445,0.008200255954819246,rbf,COMPLETE
16,16,0.9972794403420132,2025-03-06 22:42:19.825922,2025-03-06 22:42:21.949212,0 days 00:00:02.123290,1.6712098802150868,0.0019124459456469753,rbf,COMPLETE
17,17,0.9757197363857094,2025-03-06 22:42:21.949910,2025-03-06 22:42:24.440951,0 days 00:00:02.491041,1.5519578164017196,0.005538288566581302,rbf,COMPLETE
18,18,0.5462636667570254,2025-03-06 22:42:24.440951,2025-03-06 22:42:27.802278,0 days 00:00:03.361327,0.397964580250531,0.029776225595170847,rbf,COMPLETE
19,19,0.9972794403420132,2025-03-06 22:42:27.802278,2025-03-06 22:42:29.972132,0 days 00:00:02.169854,1.6455179070097,0.0020210083956335397,rbf,COMPLETE
