,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0,0.0,2025-03-06 23:29:37.981626,2025-03-06 23:29:44.959325,0 days 00:00:06.977699,0.7467983561008608,0.11616722433639892,0.08927180304353628,5,3,160,0.7468055921327309,COMPLETE
1,1,0.0,2025-03-06 23:29:44.959325,2025-03-06 23:29:53.839940,0 days 00:00:08.880615,0.9497327922401265,0.4246782213565523,0.039913058785616795,8,1,156,0.9909729556485982,COMPLETE
2,2,0.0,2025-03-06 23:29:53.842740,2025-03-06 23:29:59.877857,0 days 00:00:06.035117,0.7873687420594125,1.223705789444759,0.015254729458052608,4,3,95,0.8295835055926347,COMPLETE
3,3,0.0,2025-03-06 23:29:59.880441,2025-03-06 23:30:05.956607,0 days 00:00:06.076166,0.7599021346475079,1.0284688768272232,0.019594972058679168,3,3,105,0.935552788417904,COMPLETE
4,4,0.0,2025-03-06 23:30:05.956607,2025-03-06 23:30:14.495050,0 days 00:00:08.538443,0.984665661176,1.9312640661491187,0.011128853174905732,6,1,141,0.7195154778955838,COMPLETE
5,5,0.0,2025-03-06 23:30:14.498557,2025-03-06 23:30:18.833667,0 days 00:00:04.335110,0.7366114704534336,0.9903538202225404,0.020165721691808594,7,4,64,0.8320457481218804,COMPLETE
6,6,0.0,2025-03-06 23:30:18.835674,2025-03-06 23:30:22.682350,0 days 00:00:03.846676,0.8560204063533432,1.0934205586865593,0.08115595675970502,3,4,89,0.7935133228268233,COMPLETE
7,7,0.0,2025-03-06 23:30:22.682350,2025-03-06 23:30:29.107671,0 days 00:00:06.425321,0.8793699936433255,1.8437484700462337,0.09323621351781479,4,5,167,0.9684482051282947,COMPLETE
8,8,0.0,2025-03-06 23:30:29.108767,2025-03-06 23:30:32.548377,0 days 00:00:03.439610,0.7814047095321688,1.6574750183038587,0.015703008378806716,3,2,56,0.8166031869068446,COMPLETE
9,9,0.0,2025-03-06 23:30:32.550139,2025-03-06 23:30:40.506417,0 days 00:00:07.956278,0.7223651931039312,1.9737738732010346,0.01909565280104538,5,1,131,0.9406590942262119,COMPLETE
